,Step,progressing_init_count,hold_stage1_count,progressing_stage1_count,hold_stage2_count,progressing_stage2_count,hold_stage21_count,progressing_stage21_count,hold_stage211_count,progressing_stage211_count,hold_stage22_count,progressing_stage22_count,hold_stage23_count,progressing_stage23_count,hold_stage231_count,progressing_stage231_count,hold_stage3_count,progressing_stage3_count,hold_stage31_count,progressing_stage31_count,hold_stage32_count,progressing_stage32_count,hold_stage33_count,progressing_stage33_count,complete_restream_count,complete_training_pathway2_complete_count,complete_training_pathway3_complete_count,left_stage1_count,left_stage2_count,left_stage22_count,left_stage23_count,left_stage33_count,left_stage231_count,left_stage21_count,left_stage31_count,left_stage32_count,progressing_stage1_exit_count,param_init_new_trainees,param_stage1_drop_out_progressing,param_stage1_capacity_progressing,param_stage1_time_progressing,param_stage2_drop_out_progressing,param_stage2_capacity_progressing,param_stage2_time_progressing,left_Stage.INIT_count,left_Stage.STAGE1_count
26,26,11.0,243.0,16.8,2.4,4.0,0.4,1.0,0.2,0.2,0.6,1.8,0.2,1.6,0.2,0.4,1.4,0.8,0.0,0.0,1.2,0.6,0.4,0.4,31.0,28.4,6.8,1.0,0.8,0.4,0.0,0.0,0.2,0.6,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
27,27,11.0,252.0,16.0,1.8,5.2,0.4,1.0,0.2,0.2,0.0,2.2,0.0,1.8,0.0,0.6,0.6,1.4,0.0,0.0,0.6,1.2,0.2,0.4,31.0,28.4,6.8,0.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
28,28,11.0,261.0,16.2,0.8,6.6,0.0,1.4,0.0,0.2,0.0,1.0,0.0,1.2,0.6,0.4,1.0,2.0,0.0,0.0,0.6,1.0,0.2,0.2,31.0,28.6,6.8,0.2,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.2,1.6,11,0.1,2,9,0.2,2,6,0,0
29,29,11.0,270.0,16.4,1.0,6.8,0.2,1.4,0.0,0.2,0.0,0.6,0.4,1.2,0.0,1.0,1.8,0.6,0.0,0.0,1.4,1.0,0.6,0.2,31.0,28.6,6.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
30,30,11.0,279.0,16.6,1.0,7.0,0.2,1.4,0.0,0.2,0.2,0.6,0.2,1.0,0.6,1.0,0.8,1.8,0.2,0.0,0.2,1.4,0.8,0.2,31.4,28.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
31,31,11.0,288.0,17.6,0.2,8.0,0.0,1.6,0.0,0.0,0.0,0.6,0.0,0.8,1.0,0.8,1.6,1.8,0.2,0.0,0.2,1.4,0.0,0.8,31.4,28.6,6.8,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.0,11,0.1,2,9,0.2,2,6,0,0
32,32,11.0,297.0,17.6,1.2,6.6,0.4,1.4,0.0,0.0,0.8,0.6,0.2,0.8,0.0,1.8,0.8,1.6,0.2,0.2,1.4,0.2,0.2,0.8,31.8,28.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,11,0.1,2,9,0.2,2,6,0,0
33,33,11.0,306.0,17.8,2.4,4.6,0.6,1.4,0.0,0.0,1.8,0.2,0.2,0.6,0.2,1.6,1.4,1.6,0.2,0.2,1.4,0.2,0.0,0.2,32.6,28.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
34,34,11.0,315.0,18.0,3.6,3.0,0.4,2.0,0.0,0.0,2.0,0.2,0.6,0.8,0.0,1.6,0.6,1.4,0.2,0.0,1.0,1.4,0.6,0.2,33.0,28.8,6.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
35,35,11.0,324.0,18.0,3.0,4.2,0.6,1.8,0.2,0.0,0.2,2.2,0.8,0.6,0.0,1.6,1.2,1.4,0.2,0.0,1.0,1.2,0.0,0.6,33.2,28.8,6.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,2.0,11,0.1,2,9,0.2,2,6,0,0
